order_number,promo_sku,base_sku,qty_ordered,qty_shipped,overage,num_ss_orders,ss_order_ids,status
862313,18676,18675,1,3,2,3,"278301387, 278286012, 278284981",OVERSHIPPED
862315,18676,18675,1,2,1,2,"278301406, 278285058",OVERSHIPPED
862340,17613,17612,1,2,1,2,"278451739, 278451733",OVERSHIPPED
862344,17613,17612,2,3,1,2,"278456891, 278456882",OVERSHIPPED
862345,17613,17612,4,5,1,2,"278458473, 278458455",OVERSHIPPED
862347,17613,17612,8,10,2,2,"278477333, 278477392",OVERSHIPPED
862358,17905,17904,2,3,1,2,"278477279, 278477718",OVERSHIPPED
862359,17613,17612,8,10,2,2,"278477289, 278477731",OVERSHIPPED
862360,17613,17612,5,6,1,2,"278477336, 278478009",OVERSHIPPED
862361,17613,17612,3,4,1,2,"278477283, 278478039",OVERSHIPPED
862362,17613,17612,4,5,1,2,"278478060, 278477298",OVERSHIPPED
862366,17613,17612,4,5,1,2,"278477301, 278479216",OVERSHIPPED
862369,17613,17612,3,5,2,3,"278477330, 278488383, 278488057",OVERSHIPPED
862370,17915,17914,1,2,1,2,"278477306, 278480495",OVERSHIPPED
862371,17613,17612,1,3,2,3,"278477338, 278489085, 278488042",OVERSHIPPED
862373,17613,17612,3,4,1,2,"278482433, 278482405",OVERSHIPPED
862375,17905,17904,1,7,6,3,"278508262, 278508128, 278508127",OVERSHIPPED
862402,17613,17612,2,3,1,2,"278750711, 278750842",OVERSHIPPED
862398,18676,18675,1,1,0,1,278743096,CLEAN
