Order #	Company	SKU	Lot	Quantity	Shipping Service	Tracking
862825	SMOKEY POINT FAMILY DENTISTRY	17612	17612 - 260047	2	FedEx Ground	381134230457
862826	LEGACY DENTAL	17612	17612 - 260047	1	FedEx Ground	381134249640
862829	THOMPSON FAMILY DENTISTRY	17612	17612 - 260047	2	FedEx Ground	381134232210
862830	AV SIERRA DENTAL CENTER	17612	17612 - 260047	6	FedEx Ground	381134245770
862831	NEW AGE DENTAL	17612	17612 - 260047	5	FedEx Ground	381134241270
862832	PICKFORD DENTAL	17612	17612 - 260047	1	FedEx Ground	381134249396
862833	Z DENTISTRY	17612	17612 - 260047	1	FedEx Ground	381134250529
862834	GREYLOCK DENTAL	17612	17612	5	FedEx Ground	381134236190
862834	GREYLOCK DENTAL	17904	17904	1	FedEx Ground	381134234739
862834	GREYLOCK DENTAL	17914	17914	1	FedEx Ground	381134233618
862834	GREYLOCK DENTAL	18795	18795 - 11001	1	FedEx Ground	381134247095
862835	MANN DENTAL CARE	17612	17612 - 260047	1	FedEx Ground	381134246066
862836	DENTAL ASSOCIATES OF NORTH ALABAMA DECATUR	17612	17612 - 260047	5	FedEx Ground	381134231291
862837	BALANCED DENTAL STUDIO	17612	17612 - 260047	2	FedEx Ground	381134260416
862837	BALANCED DENTAL STUDIO	17914	17914	1	FedEx Ground	381134253469
862838	TLC DENTAL	17612	17612 - 260047	1	FedEx Ground	381134234522
862839	ADDISON FAMILY DENTISTRY	17612	17612 - 260047	2	FedEx Ground	381134250893
862840	BRADY DENTAL GROUP	17612	17612 - 260047	1	FedEx Ground	381134261982
862842	DENTAL ARTS STEVENSON- FULL SMILE	17914	17914 - 250297	1	FedEx Ground	381134247268
862842	DENTAL ARTS STEVENSON- FULL SMILE	18675	18675	4	FedEx Ground	381134239145
862843	DENTAL ARC- FULL SMILE	17914	17914 - 250297	1	FedEx Ground	381134247864
862843	DENTAL ARC- FULL SMILE	18675	18675	4	FedEx Ground	381134235573
862844	JAMES A STEIN DDS	17914	17914 - 250297	3	FedEx Ground	381134242612
862845	PIRANI AND NUNNELEE DDS PLC	17612	17612 - 260047	1	FedEx Ground	381134230354
862846	COMMUNITY ROOTS FAMILY AND IMPLANT DENTISTRY	17612	17612 - 260047	3	FedEx Ground	381134254318
862847	KELLI BRADY DDS	17612	17612 - 260047	1	FedEx Ground	381134252635
862848	DR. TANYA PIERCE LAWHON, DDS- TRUBLU	17612	17612 - 260047	5	FedEx Ground	381134248128
862851	29TH ST DENTAL	17612	17612 - 260047	1	FedEx Ground	381134255943
862853	EL PASO DENTAL CARE	17612	17612 - 260047	5	FedEx Ground	381134256376
862854	SOUTH HILLS DENTAL ARTS- UPPER SAINT CLAIR-TRUBLU	17612	17612 - 260047	1	FedEx Ground	381134229604
862855	MODERN DENTAL	17612	17612 - 260047	1	FedEx Ground	381134231306
862857	SPRINGS FAMILY AND COSMETIC DENTISTRY	17612	17612 - 260047	1	FedEx Ground	381134235816
862858	KAREN E WILLIAMSON DDS PA	17612	17612 - 260047	4	FedEx Ground	381134232450
862859	ZOE DENTAL	17612	17612 - 260047	4	FedEx Ground	381134236271
862860	ADVANCED FAMILY DENTAL	17904	17904 - 250240	5	FedEx Ground	381134249352
862861	ZOE DENTAL	17612	17612 - 260047	1	FedEx Ground	381134268542
862862	BRAWLEY DENTAL CLINIC, PLLC- TRUBLU	17612	17612 - 260047	2	FedEx Ground	381134266583
862863	WEST MADISON DENTAL	17612	17612 - 260047	6	FedEx Ground	381134240300
862864	FAMILY DENTAL HEALTH	17612	17612 - 260047	1	FedEx Ground	381134229590
862865	SOUTH HILLS DENTAL ARTS- UPPER SAINT CLAIR-TRUBLU	17914	17914 - 250297	1	FedEx Ground	381134267502
862866	CAMELLIA DENTAL	17904	17904 - 250240	2	FedEx Ground	381134262809
862867	ZIRKER FAMILY DENTISTRY	17612	17612 - 260047	4	FedEx Ground	381134263757
862868	JUDY MEJIDO DMD PA- TB	17612	17612 - 260047	3	FedEx Ground	381134230803
862868	JUDY MEJIDO DMD PA- TB	17914	17914	2	FedEx Ground	381134253594
862869	SACRAMENTO RIVER DENTAL GROUP	17612	17612 - 260047	1	FedEx Ground	381134232770
862870	DENTREMONT DENTAL SERVICES- CSC	17612	17612 - 260047	2	FedEx Ground	381134243685
862871	FOURNIER FAMILY DENTISTRY, LLC	17612	17612 - 260047	1	FedEx Ground	381134244935
862872	SEABREEZE DENTAL GROUP	17612	17612 - 260047	5	FedEx Ground	381134238127
862873	SHEHEE AND CALLAHAN FAMILY ORTHODONTICS	17612	17612 - 260047	1	FedEx Ground	381134242597
862874	BEMIDJI DENTAL CLINIC	17612	17612 - 260047	5	FedEx Ground	381134234279
862875	DR. ALAN WEINSTEIN	17612	17612 - 260047	1	FedEx Ground	381134260861
862876	GARY TORRES, DMD	17612	17612 - 260047	6	FedEx Ground	381134256148
862877	FULL SMILE DENTAL N. GRAND	17612	17612 - 260047	2	FedEx Ground	381134254215
862878	SMILE NRH	17612	17612 - 260047	1	FedEx Ground	381134230056
862878	SMILE NRH	17904	17904	1	FedEx Ground	381134248323
862879	DONNA DEVORE DDS LLC, HILLIARD DENTISTRY	17612	17612 - 260047	1	FedEx Home Delivery	381134232070
862880	SOUTH ARLINGTON DENTAL CARE	17612	17612 - 260047	2	FedEx Ground	381134233044
862881	THE SMILE DOC	17612	17612 - 260047	5	FedEx Ground	381134235963
862882	BEYOND EXCEPTIONAL DENTISTRY	17612	17612 - 260047	5	FedEx Ground	381134242645
862883	CENTER FOR ADVANCED DENTISTRY	17612	17612 - 260047	4	FedEx Ground	381134239248
862884	THE 901 DENTIST; ELIZABETH G MITCHELL DDS, LLC	17612	17612 - 260047	1	FedEx Ground	381134246732
862885	BONDS RANCH FAMILY DENTISTRY	17612	17612 - 260047	2	FedEx Ground	381134248790
862887	DR VALLABHANENI	17612	17612 - 260047	1	FedEx Ground	381134252771
862888	VIVERE MELIORIA DENTISTRY	17914	17914 - 250297	1	FedEx Ground	381134257464
862889	RESTORATION DENTAL STUDIO	17612	17612 - 260047	5	FedEx Ground	381134253182
862890	Boutique Family Dentistry	17612	17612 - 260047	1	FedEx Ground	381134256365
862891	CENTER PLAZA DENTAL	17612	17612 - 260047	5	FedEx Ground	381134234647
862892	MSB DENTISTRY- CSC	17612	17612 - 260047	1	FedEx Ground	381134239693
862893	LITTLEFIELD DENTISTRY	17612	17612 - 260047	5	FedEx Ground	381134229718
862894	CHRISTINE KIRCHNER DDS	17612	17612 - 260047	1	FedEx Ground	381134238528
862895	NORTHWEST ENDODONTICS	17904	17904 - 250240	5	FedEx Ground	381134242450
862896	SEGUIN SMILES- TRUBLU	17612	17612 - 260047	6	FedEx Ground	381134280495
862897	WOHLERS FAMILY DENTISTRY	17612	17612 - 260047	30	FedEx Ground	381134261798
862898	VANCE & GOODWIN DDS- CSC	17612	17612 - 260047	2	FedEx Ground	381134247257
862899	REFLECTION DENTISTRY	17612	17612 - 260047	12	FedEx Ground	381134248367
862901	DENTAL HAVEN	17612	17612 - 260047	5	FedEx Ground	381134288360
862902	IDEAL DENTAL	17612	17612 - 260047	2	FedEx Ground	381134287272
862903	PARADISE DENTAL ARTS	17612	17612 - 260047	1	FedEx Ground	381134293006
862904	DR M CENTER	17904	17904	1	FedEx Ground	381134255483
