Date,# Of Orders,17612,17904,17914,18675,18795,Orders,Packages,Space Rental,Total
2026-05-01,24,78,2,1,0,0,102,60.75,41.4,204.15
2026-05-02,0,0,0,0,0,0,0,0,41.4,41.4
2026-05-03,0,0,0,0,0,0,0,0,41.4,41.4
2026-05-04,21,62,3,1,3,0,89.25,51.75,40.5,181.5
2026-05-05,46,142,2,3,0,0,195.5,110.25,39.15,344.9
2026-05-06,1,40,0,0,0,0,4.25,30,39.15,73.4
2026-05-07,72,274,17,13,8,2,306,235.5,40.5,582
2026-05-08,18,57,2,33,0,9,76.5,75.75,39.6,191.85
2026-05-09,0,0,0,0,0,0,0,0,39.6,39.6
2026-05-10,0,0,0,0,0,0,0,0,39.6,39.6
2026-05-11,32,13,2,2,19,1,136,27.75,39.6,203.35
2026-05-12,37,49,2,4,9,2,157.25,49.5,39.15,245.9
2026-05-13,41,34,1,2,25,0,174.25,46.5,38.25,259
2026-05-14,26,90,1,8,3,0,110.5,76.5,37.8,224.8
2026-05-15,50,134,11,5,0,0,212.5,112.5,36.45,361.45
2026-05-16,0,0,0,0,0,0,0,0,36.45,36.45
2026-05-17,0,0,0,0,0,0,0,0,36.45,36.45
2026-05-18,18,22,0,2,1,2,76.5,20.25,41.4,138.15
2026-05-19,25,30,1,6,0,4,106.25,30.75,41.4,178.4
2026-05-20,22,17,1,5,3,0,93.5,19.5,40.95,153.95
2026-05-21,22,131,2,0,2,0,93.5,101.25,40.05,234.8
2026-05-22,18,47,1,8,23,2,76.5,60.75,38.7,175.95
2026-05-23,0,0,0,0,0,0,0,0,38.7,38.7
2026-05-24,0,0,0,0,0,0,0,0,38.7,38.7
2026-05-25,0,0,0,0,0,0,0,0,38.7,38.7
2026-05-26,43,141,2,10,2,2,182.75,117.75,37.35,337.85
2026-05-27,35,55,2,9,0,1,148.75,50.25,36.9,235.9
2026-05-28,24,164,7,12,2,6,102,143.25,40.5,285.75
2026-05-29,16,79,0,4,24,0,68,80.25,39.6,187.85
2026-05-30,0,0,0,0,0,0,0,0,39.6,39.6
2026-05-31,0,0,0,0,0,0,0,0,39.6,39.6
TOTAL,591,1659,59,128,124,31,2511.75,1500.75,1218.6,5231.1
