Date,# Of Orders,17612,17904,17914,18675,18795,Orders,Packages,Space Rental,Total
2026-06-01,27,116,7,0,1,0,114.75,93,35.55,243.3
2026-06-02,29,160,2,10,3,12,123.25,140.25,33.75,297.25
2026-06-03,38,250,12,6,2,14,161.5,213,30.15,404.65
2026-06-04,22,150,6,6,0,6,93.5,126,30.15,249.65
2026-06-05,50,236,0,11,0,4,212.5,188.25,30.15,430.9
2026-06-06,0,0,0,0,0,0,0,0,30.15,30.15
2026-06-07,0,0,0,0,0,0,0,0,30.15,30.15
2026-06-08,15,33,2,2,1,0,63.75,28.5,30.15,122.4
2026-06-09,32,73,0,8,0,2,136,62.25,30.15,228.4
2026-06-10,24,86,1,3,0,0,102,67.5,30.15,199.65
2026-06-11,21,47,0,11,0,0,89.25,43.5,30.15,162.9
2026-06-12,17,36,2,3,1,1,72.25,32.25,32.85,137.35
2026-06-13,0,0,0,0,0,0,0,0,32.85,32.85
2026-06-14,0,0,0,0,0,0,0,0,32.85,32.85
2026-06-15,44,100,5,4,3,0,187,84,32.85,303.85
2026-06-16,32,136,3,5,0,3,136,110.25,32.85,279.1
2026-06-17,35,151,1,4,0,10,148.75,124.5,32.85,306.1
2026-06-18,27,164,2,13,0,12,114.75,143.25,32.4,290.4
2026-06-19,13,88,0,1,2,0,55.25,68.25,32.4,155.9
2026-06-20,0,0,0,0,0,0,0,0,32.4,32.4
2026-06-21,0,0,0,0,0,0,0,0,32.4,32.4
2026-06-22,16,82,10,2,0,4,68,73.5,32.85,174.35
2026-06-23,27,100,5,7,0,1,114.75,84.75,31.95,231.45
2026-06-24,28,157,2,4,0,1,119,123,31.95,273.95
2026-06-25,48,276,1,3,0,2,204,211.5,31.95,447.45
2026-06-26,14,121,2,2,0,4,59.5,96.75,31.95,188.2
2026-06-27,0,0,0,0,0,0,0,0,31.95,31.95
2026-06-28,0,0,0,0,0,0,0,0,31.95,31.95
2026-06-29,12,30,1,5,3,0,51,29.25,31.95,112.2
2026-06-30,8,22,0,2,3,0,34,20.25,31.95,86.2
TOTAL,579,2614,64,112,19,76,2460.75,2163.75,955.8,5580.3
