date,sku,charge_report,ss_pivot,diff,match
2026-05-01,17904,2,1,1,N
2026-05-01,17914,1,0,1,N
2026-05-05,17612,142,143,-1,N
2026-05-07,17914,13,11,2,N
2026-05-07,18795,2,1,1,N
2026-05-08,17612,57,61,-4,N
2026-05-08,17914,33,20,13,N
2026-05-08,18795,9,7,2,N
2026-05-11,17612,44,50,-6,N
2026-05-12,17612,176,170,6,N
2026-05-14,17914,7,4,3,N
2026-05-15,17612,149,146,3,N
2026-05-15,17914,5,4,1,N
2026-05-22,18675,23,22,1,N
2026-05-22,18795,2,1,1,N
2026-05-26,17612,163,155,8,N
2026-05-26,17914,10,6,4,N
2026-05-26,18795,2,1,1,N
2026-05-27,17612,148,143,5,N
2026-05-27,17914,9,4,5,N
2026-05-28,17612,86,98,-12,N
2026-05-28,17914,7,6,1,N
2026-05-28,18675,2,1,1,N
2026-05-29,17612,40,42,-2,N
2026-05-29,17914,3,2,1,N
2026-05-29,18675,24,12,12,N
TOTAL,17612,2011,2014,-3,N
TOTAL,17904,59,58,1,N
TOTAL,17914,118,87,31,N
TOTAL,18675,127,113,14,N
TOTAL,18795,28,23,5,N
