1-May,34
46143,34
17612,33
17904,1
4-May,69
46146,69
17612,62
17904,3
17914,1
18675,3
5-May,148
46147,148
17612,143
17904,2
17914,3
6-May,40
46148,40
17612,40
7-May,311
46149,311
17612,274
17904,17
17914,11
18675,8
18795,1
8-May,90
46150,90
17612,61
17904,2
17914,20
18795,7
11-May,79
46153,79
17612,50
17904,2
17914,2
18675,8
18795,1
18675 - 240231,16
12-May,188
46154,188
17612,170
17904,2
17914,5
18795,2
18675 - 240231,9
13-May,146
46155,146
17612,118
17904,1
17914,2
18675,6
18675 - 240231,19
14-May,93
46156,93
17612,86
17904,1
17914,4
18675,2
15-May,158
46157,158
17612,146
17904,8
17914,4
18-May,81
46160,81
17612,76
17914,2
18675,1
18795,2
19-May,73
46161,73
17612,62
17904,1
17914,6
18795,4
20-May,56
46162,56
17612,47
17904,1
17914,5
18675,1
18675 - 240231,2
21-May,107
46163,107
17612,104
17904,2
18675,1
22-May,92
46164,92
17612,59
17904,6
17914,4
18675,1
18795,1
18675 - 240231,21
26-May,166
46168,166
17612,155
17904,2
17914,6
18795,1
18675 - 240231,2
27-May,150
46169,150
17612,143
17904,2
17914,4
18795,1
28-May,114
46170,114
17612,85
17613,13
17904,5
17914,6
17915,1
18675,1
18795,3
29-May,56
46171,56
17612,40
17613,2
17914,2
18675 - 260052,12
