Order Number,Base SKU,Full SKU,ShipStation Order ID,Create Date,Order Status,Quantity,Item Name,Duplicate Count,Duplicate Group
100393,17612,17612 - 250034,187114342,2025-06-11T04:33:17.4970000,cancelled,1,Oracare 16oz,7,100393_17612
100393,17612,17612,187188733,2025-06-11T09:04:03.8500000,cancelled,6,OraCare Buy 5 Cases Get 1 (Component: 17612),7,100393_17612
100393,17612,17612,187205082,2025-06-11T09:54:06.5230000,cancelled,6,OraCare Buy 5 Cases Get 1 (Component: 17612),7,100393_17612
100393,17612,17612,187207115,2025-06-11T10:00:05.5530000,cancelled,6,OraCare Buy 5 Cases Get 1 (Component: 17612),7,100393_17612
100393,17612,17612-250101,187215145,2025-06-11T10:22:17.4170000,cancelled,6,OraCare Buy 5 Cases Get 1 (Component: 17612),7,100393_17612
100393,17612,17612 - 250101,187216627,2025-06-11T10:26:47.2500000,cancelled,6,OraCare Buy 5 Cases Get 1 (Component: 17612),7,100393_17612
100393,17612,17612,187508039,2025-06-12T07:57:51.0970000,cancelled,6,OraCare Buy 5 Cases Get 1,7,100393_17612
100393,18255,18255,186974108,2025-06-10T15:50:47.3000000,cancelled,1,OraCare Buy 5 Cases Get 1,2,100393_18255
100393,18255,18255,187185408,2025-06-11T08:52:39.5230000,cancelled,1,OraCare Buy 5 Cases Get 1,2,100393_18255
100448,17612,17612 - 250216,207635549,2025-08-12T07:42:54.3100000,shipped,6,Oracare 16oz,3,100448_17612
100448,17612,17612 - 250216,210033543,2025-08-20T12:49:06.6270000,cancelled,6,Oracare 16oz,3,100448_17612
100448,17612,17612 - 250216,210263523,2025-08-21T09:40:13.6970000,shipped,6,Oracare 16oz,3,100448_17612
100518,17612,17612 - 250300,223387725,2025-10-09T11:53:01.0530000,shipped,1,SKU 17612,2,100518_17612
100518,17612,17612 - 250300,223689910,2025-10-10T06:29:56.0130000,cancelled,1,Oracare 16oz,2,100518_17612
100519,17612,17612 - 250300,223387752,2025-10-09T11:53:04.1930000,shipped,2,SKU 17612,2,100519_17612
100519,17612,17612 - 250300,223724754,2025-10-10T08:29:27.4970000,cancelled,2,Oracare 16oz,2,100519_17612
100526,17612,17612 - 250300,224419681,2025-10-13T09:25:08.3570000,cancelled,1,Oracare 16oz,2,100526_17612
100526,17612,17612 - 250300,224435389,2025-10-13T10:10:20.4870000,shipped,1,Oracare 16oz,2,100526_17612
665625,17612,17612 - 250172,190609715,2025-06-20T10:27:17.7670000,shipped,2,Oracare 16oz,2,665625_17612
665625,17612,17612,192393698,2025-06-25T17:39:35.1970000,cancelled,2,Case(s) of OraCare™ Oral Health Rinse,2,665625_17612
668625,18795,18795 - 11005,196869502,2025-07-08T09:55:43.3330000,cancelled,1,OraPro Paste - Peppermint,2,668625_18795
668625,18795,18795 - 11005,196872408,2025-07-08T10:04:29.2400000,cancelled,1,OraPro Paste Peppermint,2,668625_18795
671195,17612,17612 - 250195,200992785,2025-07-21T07:55:04.9100000,shipped,1,Case(s) of OraCare™ Oral Health Rinse,2,671195_17612
671195,17612,17612 - 250195,203407866,2025-07-28T12:21:11.9230000,cancelled,1,Case(s) of OraCare™ Oral Health Rinse,2,671195_17612
